,description,target
10,liczba organizacji sektora publicznego społecznego znacznie zwiększa ostatnich latach rozwijają obszary którymi organizacje zajmują stąd pomysł stworzenie kierunku analityka zarządzanie publiczne studia przygotować absolwenta sprawnego funkcjonowania nowoczesnej dynamicznej strukturze instytucji publicznych kształcenie kierunku opiera wykorzystaniu form kształcenia odnoszą narzędzi symultanicznej pracy dokumentach opracowywania projektów analiz case wiedzę zakresu zarządzania publicznego public governance poznają najnowsze trendy zarządzania publicznego przygotowują funkcjonowania nowoczesnej dynamicznej strukturze instytucji publicznych zdobywają umiejętności efektywnego przejmowania ról przywódczych środowisku międzynarodowym krajowym regionalnym lokalnym nabywają kompetencje interpersonalne przydatne sprawnego działania kierowania grupami społecznymi poznają język obcy poziomie biegłości studia osób którą swoją przyszłość widzą zwanym trzecim sektorze posiadają wrodzoną charyzmę zdolności przywódcze rekrutacji należy wybrać trzy punktowane przedmioty spośród następujących geografia historia język obcy nowożytny język polski matematyka wiedza wyniki poziomu rozszerzonego mnożone razy,analityka
11,studia kierunku archiwistyka nowoczesne zarządzanie zapisami informacyjnymi wprowadzają świat nauk informacji dają przygotowanie wykonywania zawodów archiwisty records menażera zarządzających dokumentacją historyczną współczesną oczywiście elektroniczną uwzględniają głębiej konteksty działania dokumentacji historyczny urzędowy biznesowy organizacyjny rozwoju technologii informatycznych itp trakcie studiów student zdobywa wiedzę umiejętności pozwalające zajmowanie dokumentami rozumianymi zapisy mające moc urzędową prawną dowodową kontrolną urzędów instytucji firm stanowią niezbędne narzędzie skutecznego administrowania zarządzania kierowania studia łączą kształcenie zakresie archiwistyki tradycyjnej nastawionej zachowanie eksplorację materiałów archiwalnych nowoczesnym zarządzeniem dokumentacją records management ważną dziedziną zarządzania wiedzą informacją studenci uczą pracy dokumentacją wykorzystywania systemów informatycznych zarządzających zasobami informacyjnymi organizacji przetwarzania danych osobowych informacji niejawnych prawnie chronionych wyszukiwania informacji zasobach archiwalnych wyboru następujące specjalności program studiów obejmuje zagadnienia zakresu zarządzania dokumentacją elektroniczną współczesnej biurowości obsługi systemów informatycznych baz danych technologii informacyjnej digitalizacji dokumentacji metodyki pracy archiwum systemów kancelaryjnych kandydat studia archiwistyczne cechować kandydaci wybierają przedmiot filozofia geografia historia informatyka język polski język łaciński kultura antyczna matematyka wiedza społeczeństwie,archiwistyka
12,kierunek bachelor in business administration skrócie bba zaznajamia studentów podejmowaniem ekonomicznych biznesowych decyzji zglobalizowanym świecie uczy zarządzania różnymi organizacjami zakątkach świata zapoznaje różnymi kulturami studia prowadzone całości angielsku uczelnia oferuje specjalizacje przedmioty jakimi przyjdzie zmierzyć studentom bba mathematics microeconomics elements of law fundamentals of finance computer information system in business fundamentals of management academic discourse and study skills organizational behavior financial accounting macroeconomics statistics for business economics fundamentals of marketing principles of corporate finance managerial accounting international strategic management international economic relations digital marketing in international marketplace elective course exporting and importing market research foreign market entry and growth entrepreneurship and innovation foreign language geopolitics consumer culture and marketing international economic relations principles of corporate finance comparative political economy international development sociology geoeconomics business politics and society market research elective course cultural diversity and customer behavior international trade advanced course applied project management applied quantitative methods with r business financing business plan essentials international human resource management leadership in business sustainability in business and economics idealny kandydat studia bachelor in business administration mówić angielsku odpowiedzialny przejawiać zainteresowania różnymi kulturami pracy rekrutacji należy przywiązywać największą wagę wyników matury języka obcego matematyki niezbędna znajomość języka angielskiego poziomie najmniej,bachelor
13,biznes administracja podstawowych kierunków studiów okołofinansowych uniwersytet wrocławski proponuje zgłębianie treści tematycznych angielsku ramach anglojęzycznego kierunku bachelor of business and administration wybrać jedną trzech specjalizacji polaków kierunek płatny przykładowe przedmioty wykładane ramach kierunku podstawy państwa prawa podstawy mikroekonomii wprowadzenie prawa międzynarodowego publicznego podstawy metod ilościowych publiczne prywatne organizacje polityka ekonomiczna integracja europejska argumentacja krytyczne myślenie współczesne kultury prawne podstawy makroekonomii wprowadzenie finansów podstawy prawa cywilnego handlowego administracja publiczna polityka administracyjna podstawy zarządzania zarządzanie strategiczne prawo prywatne międzynarodowe ekonomia ue logika ekonomistów podstawy arytmetyki finansowej podstawy rachunkowości wprowadzenie prawa ue wprowadzenie prawa karnego opodatkowanie biznesu zarządzanie innowacjami biznesie ochrona konsumentów ue karne aspekty obrotu gospodarczego biznes europejski ochrona danych informacji biznesie analiza finansowa finanse przedsiębiorstw wprowadzenie prawa finansowego rynki instytucje finansowe kierunek osób posiadających najmniej podstawową wiedzę zjawiskach prawnych politycznych ekonomicznych społecznych okazji doskonale mówiących języku angielskim warunkiem przyjęcia studia zaświadczenie znajomości języka angielskiego poziomie przynajmniej,bachelor
14,tą niecodzienną kierunku studiów nazwą kryje kierunek międzywydziałowy oparty potencjał wydziału prawa administracji kierunek prawo wydziału nauk historycznych społecznych kierunki socjologia ekonomia wydziału kierunki informatyka matematyka dużym skrócie studiowanie kierunku człowiek cyberprzestrzeni oparte czterech filarach absolwent kierunku człowiek cyberprzestrzeni aktywnie współpracować interdyscyplinarnych zespołach zajmujących projektami obszaru nowych technologii zarówno biznesie administracji publicznej posiada kompetencje informatyczne zakresie analizy projektowania systemów informacyjnych rozumie mechanizmy społeczne socjologiczne związane specjalistyczną wiedzą kształtowaniem społeczeństwa informacyjnego przetwarzaniem danych statystycznych hurtowni danych data mining big data technikami badawczymi wykluczeniem cyfrowym social media sna social network analysis wirtualnymi relacjami interpersonalnymi metodologią badań społecznych marketingiem komercyjnym politycznym internecie specjalizacje oferowane ramach kierunku przykładowe przedmioty kierunku człowiek cyberprzestrzeni zarys systemu prawa publicznego prawo administracyjne zarys systemu prawa publicznego prawo karne materialne procesowe podstawy prawne społeczeństwa informacyjnego zarys systemu prawa prywatnego prawo cywilne handlowe gospodarcze postępowanie cywilne poznanie prawa drogą elektroniczną elektroniczne platformy usług administracji publicznej socjologia cyberprzestrzeni analiza statystyczna wprowadzenie programowania matematyka wyborów wybierania analiza dynamiczna uml zarządzanie projektami metodyk agile prawo karne komputerowe ochrona cyberprzestrzeni media społecznościowe ujęcie social media podstawy ekonomii marketing reklama internecie zarządzanie organizacji wirtualnej rozwój technologii ewolucja regulacji wykorzystanie technologii postępowaniu sądowym prawo karne cywilne handlowe elektroniczne instrumenty płatnicze dokumentowanie analiza procesów biznesowych technologie xml laboratorium ekonometria kierunek odpowiedni osób szerokich zainteresowaniach odnajdą ukończeniu konkretny pomysł siebie chcą zdobyć kompetencje pomagające realizacji punktowane rekrutacji przedmioty maturalne język polski język obcy wyboru historia wos geografia matematyka,człowiek
15,kierunek gospodarka administracja publiczna kształci ekonomistów nowoczesnej gospodarki wielką rolę odgrywa sektor publiczny studenci zdobywają wiedzę mechanizmach funkcjonowania instytucji publicznych potrzebną rozwoju kariery administracji publicznej biznesie uczą innymi metod badawczych projektowania badań analizy rynków monitorowania polityk społecznych analizy diagnozy kapitału ludzkiego organizacji planowania kariery komunikowania organizacji program kształcenia obejmuje przedmioty zakresu gospodarki publicznej zarządzania administracji prawa polski prawa unii europejskiej specjalności oferowane gospodarce administracji publicznej studenci gospodarki administracji publicznej uczą innymi metod badawczych projektowania badań analizy rynków monitorowania polityk społecznych analizy diagnozy kapitału ludzkiego organizacji planowania kariery komunikowania organizacji program kształcenia obejmuje przedmioty zakresu gospodarki publicznej zarządzania administracji prawa polski prawa unii europejskiej studia odpowiednie osób interesują polityką społeczeństwem gospodarką chcą aktywnie wpływać stan państwa umiejętnie prowadzić nowoczesny biznes postępowanie kwalifikacyjne kierunku gospodarka administracja publiczna obejmuje obowiązkowy język obcy przedmioty wyboru spośród następujących język polski matematyka historia wiedza społeczeństwie geografia,gospodarka
16,absolwenci kierunku gospodarka rozwój zrównoważony zdobędą przekrojową wiedzę kilku dyscyplin niezbędnych współczesnego efektywnego zarządzania przedsiębiorstwach administracji zyskają podstawową wiedzę zakresu przedsiębiorczości zarządzania prawa administracji ochrony środowiska energetyki odnawialnych źródeł energii rozwoju regionalnego przekrojowa wiedza niezbędna kreowania rozwoju gospodarczego zgodzie potrzebami społecznymi środowiskowymi konieczność łączenia wiedzy zjawiskiem powszechnym np prawa zarządzania podstaw energetyki administracji studia skierowane szerokiego grona odbiorców wybrane przedmioty programie studiów makro mikroekonomia wprowadzenie zrównoważonego rozwoju prawo ochrony środowiska gospodarka odpadami prawo zagospodarowania przestrzeni przedsiębiorczość społeczna zarządzanie projektami gospodarka energetyczna zielone strategie biznesowe ekonomika miast regionów odnawialne źródła energii studia dobry wybór kandydatów przedsiębiorczych aktywnych kreatywnych dynamicznych umiejących połączyć rozwój zmiany zachowaniem równowagi bezpieczeństwa aspektach zasady rekrutacji należy sprawdzać stronie internetowej uczelni,gospodarka
17,gospodarka zarządzanie publiczne kierunek interdyscyplinarny łączący wiedzę zakresu ekonomii zarządzania podstaw prawa administracji politologii oprócz twardych przedmiotów studenci uczą takich kwestii umiejętność pracy zespołowej twórcze rozwiązywanie problemów elastyczność podejściu własnej kariery zawodu umiejętność tworzenia planów strategicznych diagnozowanie ryzyka tworzenie systemów motywacji absolwent gospodarki zarządzania publicznego potrafi specjalności oferowane ramach kierunku studenci gospodarki zarządzania publicznymi musieli zmierzyć takimi przedmiotami matematyka mikroekonomia psychologia socjologia zarządzanie etyka gospodarcza komunikacja negocjacje organizacjach publicznych makroekonomia polityka gospodarcza prawo statystyka demografia wychowanie fizyczne nauka państwie polityce podstawy rachunkowości prawo administracyjne postępowanie administracyjne prawo pracy teorie techniki komunikowania metodyka zarządzania ryzykiem diagnoza patologii organizacyjnych zarządzanie kompetencjami decyzje lokalizacyjne firm ekonomia rozwoju handel rynki elektroniczne infrastruktura transportu marketing nieruchomości merchandising metodyka biznes planu wniosków unijnych polityka wymiany gospodarczej zagranicą psychologia rozwoju osobistego kariery zawodowej rynek pracy warunkach globalizacji rewolucji technologicznej sektor społeczny kierunek polecany osobom przyszłości zamierzają swoją karierę zawodową rozwijać organizacjach publicznych społecznych organizacjach prywatnych koncentrować praktykach społecznej odpowiedzialności biznesu wśród przedmiotów maturalnych punktowanych rekrutacji gospodarkę zarządzanie publiczne znalazły matematyka geografia historia informatyka fizyka wos język polski język obcy,gospodarka
18,nan studia charakter indywidualny oznacza student ism samodzielnie układa swój plan studiów decydując jakich zajęciach uczestniczył zdecydowanie indywidualistów uwagę brane język polski matematyka trzeci przedmiot wybrany kandydaci odbywają dodatkowo rozmowę kompetencyjną wybrane tematy odzwierciedlające zainteresowania ważniejszy etap postępowania kwalifikacyjnego,indywidualne
19,indywidualne studia międzyobszarowe skrócie ism uniwersytet dostępny całości wyboru kandydat przyjęty ism wybrać kierunek studiów spośród prowadzonych uczelni swój wybór uzupełnia zajęcia dziedzin oznacza student ism możliwość uzyskania jednego dyplomu indywidualne studia międzyobszarowe charakter indywidualny oznacza student ism samodzielnie układa swój plan studiów decydując jakich zajęciach uczestniczył okres studiów student ism pozostaje opieką indywidualnego tutora pracownika naukowego zadaniem merytoryczna administracyjna pomoc konsultacja studia prawdziwych indywidualistów tyle pewni siebie dojrzali swoich decyzjach wyniosą ism najlepsze rekrutacja ism obejmuje konkurs wyników języka polskiego następnie wyboru języka obcego matematyki trzeciej kolejności wybranego przedmiotu zdawanego poziomie ponadto obowiązuje rozmowa kwalifikacyjna mająca sprawdzać predyspozycje podjęcia nietypowego kierunku studiów,indywidualne
20,studia kierunku informatologia biznesowym językiem angielskim obejmują zagadnienia związane zarządzaniem informacją studenci uczą wyszukiwania selekcjonowania opracowywania porządkowania dokumentowania projektowania przetwarzania informacji głównie sektorze biznesu równolegle podnoszą kompetencje zakresie posługiwania językiem angielskim biznesowym większość przedmiotów realizowana języku polskim wyboru specjalności studia realizowane poziomie drugiego stopnia wybrane przedmioty programie studiów informatologia polsce świecie społeczeństwo informacyjne wyzwania ekologia informacji bezpieczeństwo sieci zarządzanie informacją zarządzanie praca zespole architektura informacji informatolog rynku pracy zarządzanie marketing biznesie zarządzanie dokumentami firmie conference and events organisation scientific texts writing business english dobry wybór osób dociekliwych dokładnych cierpliwych uporządkowanych rekrutacja odbywa podstawie złożenia wymaganych warunkiem przyjęcia studia posiadanie dyplomów studiów pierwszego stopnia magisterskich dowolnego kierunku,informatologia
21,informatyka biznesie administracji kierunek obejmuje zagadnienia zakresu informatyki szeroko rozumianym zarządzaniu bezpieczeństwie publicznym administracji studenci poznają zasady praktycznego wykorzystania narzędzi informatycznych potrzeby wspomagania procesów administracyjnych biznesowych uczą tworzyć nowe oprogramowania wykorzystaniu współczesnych języków programowania projektować bazy danych stosować nowoczesne technologie informacyjne obszarze studia przybliżają narzędzia realizacji projektów informatycznych zarządzania wyboru następujące specjalności program studiów obejmuje zagadnienia zakresu informatyki administracji technologie informacyjne podstawy zarządzanie projektami it projektowanie stron www system erp komputerowe wspomaganie projektowania informatyczne narzędzia grafiki inżynierskiej kandydaci studia osobami predyspozycjach nauki przedmiotów ścisłych szczególnie matematycznych kandydaci otrzymują punkty przedmioty zdawane egzaminie wyboru język polski język obcy przedmiot spośród matematyka fizyka wos historia geografia chemia biologia informatyka,informatyka
22,international and political studies kierunek realizowany języku angielskim łączy wiedzę obszaru stosunków międzynarodowych nauk polityce ekonomicznych studiów kulturowych porusza zagadnienia wielowymiarowości zjawisk procesów funkcjonowania organizacji instytucji krajowych międzynarodowych zajmujących szeroko pojętymi aspektami polityki proponowane specjalności kierunku obwiązują przedmioty conflict cooperation security in politics international orders in historical perspective introduction cultural studies introduction international studies introduction political studies international organizations political economy in international affairs kandydaci studia muszą posługiwać językiem angielskim poziomie średniozaawansowanym rekrutacji punktowane przedmiot wybrany spośród język obcy wyboru angielski niemiecki francuski hiszpański rosyjski wos historia geografia język polski matematyka historia sztuki przedmiot wybrany spośród wos historia geografia matematyka język obcy wyboru angielski niemiecki francuski hiszpański rosyjski język polski historia sztuki,international
23,the programme of international relations and public diplomacy is concept which allows students complete studies for two semesters at the jagiellonian university in krakow and two semesters at the university of siena in italy it focuses acquiring knowledge combining the issues of analysis of both international relations and state activities in the external sphere and adapting the possessed knowledge and skills with particular emphasis the importance of public diplomacy political economic cultural both at the level of global and regional institutions and state and organizations main obligatory subjects public diplomacy world politics since international economics global comparative politics international law and human rights persons eligible apply for the programme are holders of higher education diploma at least undergraduate in any field candidates are placed the ranking list in order established the basis of final result expressed scale from calculated as follows assessment of the motivation letter written in english preliminary thesis project will also be assessed as part of the motivation letter maximum of points points awarded for reference letters maximum of points,international
24,studia kierunku menedżer administracji publicznej obejmują wiedzę zakresu nauk polityce administracji nauk prawnych nauk zarządzaniu jakości ekonomii finansów studenci poznają zasady sprawnego zarządzania rozwojem inteligentnych miast logistyką miejską różnymi projektami partycypacją społeczną poznają elementy coachingu mentoringu studia realizowane poziomie drugiego stopnia informacji temat programu studiów należy szukać stronie internetowej uczelni kierunek odpowiedni osób zainteresowanych przyszłości wykonywaniem zadań administracyjnych ujęciu biznesowym przyjęcie studia kierunek menedżer administracji publicznej ubiegać następującej kolejności absolwenci kierunku administracja kierunków zbliżonym zakresie programowym kierunku studiów drugiego stopnia szczególności kandydaci absolwentami kierunków dziedzin nauk społecznych,menedżer
25,podatki doradztwo podatkowe kierunek kształcący przyszłych doradców podatkowych obecnie uczelnie kraju przygotowują zawodu kierunek podatki doradztwo podatkowe międzywydziałowy kierunek uniwersytecie gdańskim wydział prawa administracji wydział zarządzania wspólnie kształcą studentów ii stopnia kierunku toruniu zdobyć zawód uniwersytecie mikołaja kopernika wydziale prawa administracji studiować doradztwo podatkowe uczelnia oferuje studia ii stopnia studia przygotowują wykonywania konkretnego zawodu jakim doradca podatkowy wymiar praktyczny zawód podlega regulacji ustawą doradztwie podatkowym wykonywania profesji oprócz studiów niezbędny zdany egzamin państwowy zaliczone półroczne praktyki spełnieniu wymagań absolwent wydawać opinie podatkowe reprezentować stronę sporach podatkowych sądem prowadzić księgi rachunkowe zawód łączy pracę prawnika księgowego doradcy podatkowi posiadają swój samorząd krajowa izba doradców podatkowych programie studiów przewidziano przedmioty prawoznawstwo podstawy prawa cywilnego handlowego podstawy postępowania cywilnego rachunkowość źródła prawa podatkowego wykonywanie zawodu doradcy podatkowego podatek akcyzowy podatek gier podatki opłaty lokalne prawo celne dewizowe przedmioty obejmują swoim zakresem wymagane zagadnienia egzamin państwowy wiedza umiejętności zdobyte trakcie studiów pozwalają samodzielne prowadzenie działalności doradztwa podatkowego uzyskaniu uprawnień zawodowych pracę kancelariach doradztwa podatkowego kancelariach prawniczych biurach rachunkowych działach podatkowych finansowych nan nan brak szczegółowego,podatki
