target,description
analityka i zarządzanie publiczne,liczba organizacji sektora publicznego społecznego znacznie zwiększa ostatnich latach rozwijają obszary którymi organizacje zajmują stąd pomysł stworzenie kierunku analityka zarządzanie publiczne studia przygotować absolwenta sprawnego funkcjonowania nowoczesnej dynamicznej strukturze instytucji publicznych studia osób którą swoją przyszłość widzą zwanym trzecim sektorze posiadają wrodzoną charyzmę zdolności przywódcze kształcenie kierunku opiera wykorzystaniu form kształcenia odnoszą narzędzi symultanicznej pracy dokumentach opracowywania projektów analiz case wiedzę zakresu zarządzania publicznego public governance poznają najnowsze trendy zarządzania publicznego przygotowują funkcjonowania nowoczesnej dynamicznej strukturze instytucji publicznych zdobywają umiejętności efektywnego przejmowania ról przywódczych środowisku międzynarodowym krajowym regionalnym lokalnym nabywają kompetencje interpersonalne przydatne sprawnego działania kierowania grupami społecznymi poznają język obcy poziomie biegłości
archiwistyka i nowoczesne zarządzanie zapisami informacyjnymi,studia kierunku archiwistyka nowoczesne zarządzanie zapisami informacyjnymi wprowadzają świat nauk informacji dają przygotowanie wykonywania zawodów archiwisty records menażera zarządzających dokumentacją historyczną współczesną oczywiście elektroniczną uwzględniają głębiej konteksty działania dokumentacji historyczny urzędowy biznesowy organizacyjny rozwoju technologii informatycznych itp trakcie studiów student zdobywa wiedzę umiejętności pozwalające zajmowanie dokumentami rozumianymi zapisy mające moc urzędową prawną dowodową kontrolną urzędów instytucji firm stanowią niezbędne narzędzie skutecznego administrowania zarządzania kierowania studia łączą kształcenie zakresie archiwistyki tradycyjnej nastawionej zachowanie eksplorację materiałów archiwalnych nowoczesnym zarządzeniem dokumentacją records management ważną dziedziną zarządzania wiedzą informacją studenci uczą pracy dokumentacją wykorzystywania systemów informatycznych zarządzających zasobami informacyjnymi organizacji przetwarzania danych osobowych informacji niejawnych prawnie chronionych wyszukiwania informacji zasobach archiwalnych wyboru następujące specjalności kandydat studia archiwistyczne cechować program studiów obejmuje zagadnienia zakresu zarządzania dokumentacją elektroniczną współczesnej biurowości obsługi systemów informatycznych baz danych technologii informacyjnej digitalizacji dokumentacji metodyki pracy archiwum systemów kancelaryjnych
bachelor in business administration,kierunek bachelor in business administration skrócie bba zaznajamia studentów podejmowaniem ekonomicznych biznesowych decyzji zglobalizowanym świecie uczy zarządzania różnymi organizacjami zakątkach świata zapoznaje różnymi kulturami studia prowadzone całości angielsku uczelnia oferuje specjalizacje idealny kandydat studia bachelor in business administration mówić angielsku odpowiedzialny przejawiać zainteresowania różnymi kulturami pracy przedmioty jakimi przyjdzie zmierzyć studentom bba mathematics microeconomics elements of law fundamentals of finance computer information system in business fundamentals of management academic discourse and study skills organizational behavior financial accounting macroeconomics statistics for business economics fundamentals of marketing principles of corporate finance managerial accounting international strategic management international economic relations digital marketing in international marketplace elective course exporting and importing market research foreign market entry and growth entrepreneurship and innovation foreign language geopolitics consumer culture and marketing international economic relations principles of corporate finance comparative political economy international development sociology geoeconomics business politics and society market research elective course cultural diversity and customer behavior international trade advanced course applied project management applied quantitative methods with r business financing business plan essentials international human resource management leadership in business sustainability in business and economics
bachelor of business and administration,biznes administracja podstawowych kierunków studiów okołofinansowych uniwersytet wrocławski proponuje zgłębianie treści tematycznych angielsku ramach anglojęzycznego kierunku bachelor of business and administration wybrać jedną trzech specjalizacji polaków kierunek płatny kierunek osób posiadających najmniej podstawową wiedzę zjawiskach prawnych politycznych ekonomicznych społecznych okazji doskonale mówiących języku angielskim przykładowe przedmioty wykładane ramach kierunku podstawy państwa prawa podstawy mikroekonomii wprowadzenie prawa międzynarodowego publicznego podstawy metod ilościowych publiczne prywatne organizacje polityka ekonomiczna integracja europejska argumentacja krytyczne myślenie współczesne kultury prawne podstawy makroekonomii wprowadzenie finansów podstawy prawa cywilnego handlowego administracja publiczna polityka administracyjna podstawy zarządzania zarządzanie strategiczne prawo prywatne międzynarodowe ekonomia ue logika ekonomistów podstawy arytmetyki finansowej podstawy rachunkowości wprowadzenie prawa ue wprowadzenie prawa karnego opodatkowanie biznesu zarządzanie innowacjami biznesie ochrona konsumentów ue karne aspekty obrotu gospodarczego biznes europejski ochrona danych informacji biznesie analiza finansowa finanse przedsiębiorstw wprowadzenie prawa finansowego rynki instytucje finansowe
człowiek w cyberprzestrzeni,tą niecodzienną kierunku studiów nazwą kryje kierunek międzywydziałowy oparty potencjał wydziału prawa administracji kierunek prawo wydziału nauk historycznych społecznych kierunki socjologia ekonomia wydziału kierunki informatyka matematyka dużym skrócie studiowanie kierunku człowiek cyberprzestrzeni oparte czterech filarach absolwent kierunku człowiek cyberprzestrzeni aktywnie współpracować interdyscyplinarnych zespołach zajmujących projektami obszaru nowych technologii zarówno biznesie administracji publicznej posiada kompetencje informatyczne zakresie analizy projektowania systemów informacyjnych rozumie mechanizmy społeczne socjologiczne związane specjalistyczną wiedzą kształtowaniem społeczeństwa informacyjnego przetwarzaniem danych statystycznych hurtowni danych data mining big data technikami badawczymi wykluczeniem cyfrowym social media sna social network analysis wirtualnymi relacjami interpersonalnymi metodologią badań społecznych marketingiem komercyjnym politycznym internecie specjalizacje oferowane ramach kierunku kierunek odpowiedni osób szerokich zainteresowaniach odnajdą ukończeniu konkretny pomysł siebie chcą zdobyć kompetencje pomagające realizacji przykładowe przedmioty kierunku człowiek cyberprzestrzeni zarys systemu prawa publicznego prawo administracyjne zarys systemu prawa publicznego prawo karne materialne procesowe podstawy prawne społeczeństwa informacyjnego zarys systemu prawa prywatnego prawo cywilne handlowe gospodarcze postępowanie cywilne poznanie prawa drogą elektroniczną elektroniczne platformy usług administracji publicznej socjologia cyberprzestrzeni analiza statystyczna wprowadzenie programowania matematyka wyborów wybierania analiza dynamiczna uml zarządzanie projektami metodyk agile prawo karne komputerowe ochrona cyberprzestrzeni media społecznościowe ujęcie social media podstawy ekonomii marketing reklama internecie zarządzanie organizacji wirtualnej rozwój technologii ewolucja regulacji wykorzystanie technologii postępowaniu sądowym prawo karne cywilne handlowe elektroniczne instrumenty płatnicze dokumentowanie analiza procesów biznesowych technologie xml laboratorium ekonometria
gospodarka i administracja publiczna,kierunek gospodarka administracja publiczna kształci ekonomistów nowoczesnej gospodarki wielką rolę odgrywa sektor publiczny studenci zdobywają wiedzę mechanizmach funkcjonowania instytucji publicznych potrzebną rozwoju kariery administracji publicznej biznesie uczą innymi metod badawczych projektowania badań analizy rynków monitorowania polityk społecznych analizy diagnozy kapitału ludzkiego organizacji planowania kariery komunikowania organizacji program kształcenia obejmuje przedmioty zakresu gospodarki publicznej zarządzania administracji prawa polski prawa unii europejskiej specjalności oferowane gospodarce administracji publicznej studia odpowiednie osób interesują polityką społeczeństwem gospodarką chcą aktywnie wpływać stan państwa umiejętnie prowadzić nowoczesny biznes studenci gospodarki administracji publicznej uczą innymi metod badawczych projektowania badań analizy rynków monitorowania polityk społecznych analizy diagnozy kapitału ludzkiego organizacji planowania kariery komunikowania organizacji program kształcenia obejmuje przedmioty zakresu gospodarki publicznej zarządzania administracji prawa polski prawa unii europejskiej
gospodarka i rozwój zrównoważony,absolwenci kierunku gospodarka rozwój zrównoważony zdobędą przekrojową wiedzę kilku dyscyplin niezbędnych współczesnego efektywnego zarządzania przedsiębiorstwach administracji zyskają podstawową wiedzę zakresu przedsiębiorczości zarządzania prawa administracji ochrony środowiska energetyki odnawialnych źródeł energii rozwoju regionalnego przekrojowa wiedza niezbędna kreowania rozwoju gospodarczego zgodzie potrzebami społecznymi środowiskowymi konieczność łączenia wiedzy zjawiskiem powszechnym np prawa zarządzania podstaw energetyki administracji studia skierowane szerokiego grona odbiorców studia dobry wybór kandydatów przedsiębiorczych aktywnych kreatywnych dynamicznych umiejących połączyć rozwój zmiany zachowaniem równowagi bezpieczeństwa aspektach wybrane przedmioty programie studiów makro mikroekonomia wprowadzenie zrównoważonego rozwoju prawo ochrony środowiska gospodarka odpadami prawo zagospodarowania przestrzeni przedsiębiorczość społeczna zarządzanie projektami gospodarka energetyczna zielone strategie biznesowe ekonomika miast regionów odnawialne źródła energii
gospodarka i zarządzanie publiczne,gospodarka zarządzanie publiczne kierunek interdyscyplinarny łączący wiedzę zakresu ekonomii zarządzania podstaw prawa administracji politologii oprócz twardych przedmiotów studenci uczą takich kwestii umiejętność pracy zespołowej twórcze rozwiązywanie problemów elastyczność podejściu własnej kariery zawodu umiejętność tworzenia planów strategicznych diagnozowanie ryzyka tworzenie systemów motywacji absolwent gospodarki zarządzania publicznego potrafi specjalności oferowane ramach kierunku kierunek polecany osobom przyszłości zamierzają swoją karierę zawodową rozwijać organizacjach publicznych społecznych organizacjach prywatnych koncentrować praktykach społecznej odpowiedzialności biznesu studenci gospodarki zarządzania publicznymi musieli zmierzyć takimi przedmiotami matematyka mikroekonomia psychologia socjologia zarządzanie etyka gospodarcza komunikacja negocjacje organizacjach publicznych makroekonomia polityka gospodarcza prawo statystyka demografia wychowanie fizyczne nauka państwie polityce podstawy rachunkowości prawo administracyjne postępowanie administracyjne prawo pracy teorie techniki komunikowania metodyka zarządzania ryzykiem diagnoza patologii organizacyjnych zarządzanie kompetencjami decyzje lokalizacyjne firm ekonomia rozwoju handel rynki elektroniczne infrastruktura transportu marketing nieruchomości merchandising metodyka biznes planu wniosków unijnych polityka wymiany gospodarczej zagranicą psychologia rozwoju osobistego kariery zawodowej rynek pracy warunkach globalizacji rewolucji technologicznej sektor społeczny
indywidualne studia międzyobszarowe,indywidualne studia międzyobszarowe skrócie ism uniwersytet dostępny całości wyboru kandydat przyjęty ism wybrać kierunek studiów spośród prowadzonych uczelni swój wybór uzupełnia zajęcia dziedzin oznacza student ism możliwość uzyskania jednego dyplomu studia prawdziwych indywidualistów tyle pewni siebie dojrzali swoich decyzjach wyniosą ism najlepsze indywidualne studia międzyobszarowe charakter indywidualny oznacza student ism samodzielnie układa swój plan studiów decydując jakich zajęciach uczestniczył okres studiów student ism pozostaje opieką indywidualnego tutora pracownika naukowego zadaniem merytoryczna administracyjna pomoc konsultacja
informatologia z biznesowym językiem angielskim,studia kierunku informatologia biznesowym językiem angielskim obejmują zagadnienia związane zarządzaniem informacją studenci uczą wyszukiwania selekcjonowania opracowywania porządkowania dokumentowania projektowania przetwarzania informacji głównie sektorze biznesu równolegle podnoszą kompetencje zakresie posługiwania językiem angielskim biznesowym większość przedmiotów realizowana języku polskim wyboru specjalności studia realizowane poziomie drugiego stopnia dobry wybór osób dociekliwych dokładnych cierpliwych uporządkowanych wybrane przedmioty programie studiów informatologia polsce świecie społeczeństwo informacyjne wyzwania ekologia informacji bezpieczeństwo sieci zarządzanie informacją zarządzanie praca zespole architektura informacji informatolog rynku pracy zarządzanie marketing biznesie zarządzanie dokumentami firmie conference and events organisation scientific texts writing business english
informatyka w biznesie i administracji,informatyka biznesie administracji kierunek obejmuje zagadnienia zakresu informatyki szeroko rozumianym zarządzaniu bezpieczeństwie publicznym administracji studenci poznają zasady praktycznego wykorzystania narzędzi informatycznych potrzeby wspomagania procesów administracyjnych biznesowych uczą tworzyć nowe oprogramowania wykorzystaniu współczesnych języków programowania projektować bazy danych stosować nowoczesne technologie informacyjne obszarze studia przybliżają narzędzia realizacji projektów informatycznych zarządzania wyboru następujące specjalności kandydaci studia osobami predyspozycjach nauki przedmiotów ścisłych szczególnie matematycznych program studiów obejmuje zagadnienia zakresu informatyki administracji technologie informacyjne podstawy zarządzanie projektami it projektowanie stron www system erp komputerowe wspomaganie projektowania informatyczne narzędzia grafiki inżynierskiej
international and political studies,international and political studies kierunek realizowany języku angielskim łączy wiedzę obszaru stosunków międzynarodowych nauk polityce ekonomicznych studiów kulturowych porusza zagadnienia wielowymiarowości zjawisk procesów funkcjonowania organizacji instytucji krajowych międzynarodowych zajmujących szeroko pojętymi aspektami polityki proponowane specjalności kandydaci studia muszą posługiwać językiem angielskim poziomie średniozaawansowanym kierunku obwiązują przedmioty conflict cooperation security in politics international orders in historical perspective introduction cultural studies introduction international studies introduction political studies international organizations political economy in international affairs
international relations and public diplomacy,the programme of international relations and public diplomacy is concept which allows students complete studies for two semesters at the jagiellonian university in krakow and two semesters at the university of siena in italy it focuses acquiring knowledge combining the issues of analysis of both international relations and state activities in the external sphere and adapting the possessed knowledge and skills with particular emphasis the importance of public diplomacy political economic cultural both at the level of global and regional institutions and state and organizations persons eligible apply for the programme are holders of higher education diploma at least undergraduate in any field main obligatory subjects public diplomacy world politics since international economics global comparative politics international law and human rights
menedżer administracji publicznej,studia kierunku menedżer administracji publicznej obejmują wiedzę zakresu nauk polityce administracji nauk prawnych nauk zarządzaniu jakości ekonomii finansów studenci poznają zasady sprawnego zarządzania rozwojem inteligentnych miast logistyką miejską różnymi projektami partycypacją społeczną poznają elementy coachingu mentoringu studia realizowane poziomie drugiego stopnia kierunek odpowiedni osób zainteresowanych przyszłości wykonywaniem zadań administracyjnych ujęciu biznesowym informacji temat programu studiów należy szukać stronie internetowej uczelni
polityka publiczna,polityka publiczna kierunek wyposaża narzędzia niezbędne optymalnym kształtowaniu polityk publicznych skutecznym analizowaniu syntetyzowanie ogromnych ilości informacji dostrzeganiu złożoności rzeczywistości społecznej gospodarczej kulturowej cywilizacyjnej religijnej kierunek realizowany specjalnościach studia kończą tytułem licencjata kierunek odpowiedni osób przyszłości planują pracę organach państwa samorządu terytorialnego administracji podmiotów gospodarczych szczegóły dotyczące programu studiów znajdują stronie uczelni prowadzącej studia
prawno-administracyjny kierunek,studia kierunku pozwalają studentom uzyskać szeroki zakres wiedzy zakresie funkcjonowania administracji publicznej zarządzania państwem trakcie studiów słuchacze nabędą umiejętności zakresie procesu stosowania interpretowania prawa moduł przedmiotów podstawowych obejmie zagadnienia dotyczące kształtowania ustroju podstaw prawnych administracji ustroju państwa organów ochrony prawnej prawa cywilnego karnego prawa wykroczeń administracyjnego handlowego rolnego gospodarczego pracy procedury administracyjnej egzekucyjnego legislacji administracyjnej profil kształcenia module podstawowym obejmie zagadnienia dotyczące funkcjonowania nowoczesnych systemów informatycznych administracji studiach drugiego stopnia możliwość wyboru jednego modułów studia profilu prawniczym odpowiednie kandydatów dokładnych precyzyjnych cierpliwych posiadających dobrą pamięć łatwość poruszania zmieniających przepisach wybrane przedmioty programie studiów historia administracji organy ochrony prawnej nauka administracji podstawy języka urzędniczego negocjacje mediacje administracji instytucje źródła prawa ue legislacja administracyjna postępowanie egzekucyjne administracji organizacja funkcjonowanie administracji publicznej prawo wykroczeń podstawy prawa finansowe podstawy prawa handlowego
prawo w administracji i gospodarce,studia kierunku prawo administracji gospodarce charakter interdyscyplinarny łączą teoretyczną wiedzę zakresu prawa praktycznymi umiejętnościami stosowania studia kierunku stanowią odpowiedź aktualne potrzeby rynku pracy dają szansę profesjonalne doskonalenie zawodowe osób aktywnych zawodowo poszukuje wiedzy zakresu procedur cywilnych podatków celu efektywniejszego prowadzenia własnej działalności gospodarczej studia kierunku odpowiedzią typy potrzeby umożliwiają zdobycie wiedzy zakresu określonych gałęzi prawa konieczności ukończenia studiów prawniczych studia adresowane absolwentów dyplomem ukończenia studiów wyższych uzyskanym kierunkach ekonomia dziennikarstwo komunikacja społeczna politologia socjologia stosunki międzynarodowe kierunkach mieszczących obszarach nauk humanistycznych przyrodniczych technicznych programie studiów znajdziemy przedmioty wstęp nauk prawnych organizacja funkcjonowanie administracji publicznej podstawy języka urzędowego podstawy prawa prywatnego podstawy zarządzania organizacją publiczną prawo międzynarodowe pracy urzędnika podstawy prawa finansów publicznych umowy administracji planowanie programowanie projekty administracji publiczne gospodarka komunalne
przedsiębiorczość,studia kierunku przedsiębiorczość adresowane chcieliby prowadzić własną działalność gospodarczą celem studiów przygotowanie absolwenta podjęcia takiej działalności podjęcia pracy samodzielnym stanowisku związanym zarządzaniem organizacją cudzym przedsiębiorstwie kształcenie obejmuje zagadnienia zakresu zawierania umów obrocie gospodarczym odpowiedzialności cywilnej karnej przedsiębiorcy zarządzania przedsiębiorstwem elementami niezbędnymi praktyki obrotu takimi prawo podatkowe prawo pracy uwzględnieniem niezbędnych środowisku gospodarczym kwestii ubezpieczeń zarządzania strategicznego badań marketingowych rynkowych zarządzania projektami pozyskiwania funduszy unijnych zarządzania zasobami ludzkimi podstaw rachunkowości logistyki studia takim profilu wybierają kandydaci posiadający zmysł analityczny predyspozycje biznesowe umiejący zarządzać program nauczania przedsiębiorczości obejmuje głównie przedmioty prawnicze znajomość niezbędna prowadzeniu własnej firmy dobrane absolwent posiadał szeroką wiedzę dotyczącą różnych aspektów działalności gospodarczej pozwoli trafne odpowiedzialne podejmowanie decyzji nacisk położony praktyczne zastosowanie uzyskanej wiedzy służyć warsztaty obowiązkowe praktyki duża liczba przedmiotów fakultatywnych zapewni różnorodność zajęć pośród znajdzie siebie
public policy and administration,public policy and administration polityka publiczna administracja studia anglojęzyczne przeznaczone przyszłych obecnych pracowników administracji publicznej organizacji instytucji współpracujących sektorem ppa przekazuje wiedzę temat uwarunkowań prawnych instytucjonalnych sfery publicznej trakcie studiów studenci analizują politykę krajów poznają narzędzia analizy monitoringu polityki zdobywają wiedzę zakresie zarządzania sferą publiczną międzysektorowej współpracy administracji publicznej kierunek dąży studenci zrozumieli misję pracy służbie publicznej przygotowywani pełnienia funkcji urzędniczych menadżerskich doradczych eksperckich administracji instytucjach publicznych prywatnych publicznych społecznych organizacjach współdziałających administracją publiczną studia public policy and administration skierowane osób planujących karierę administracji publicznej administracji unii europejskiej instytucjach organizacjach współpracujących sektorem publicznym strukturach rady europy oecd nato onz program nauczania kładzie nacisk poszerzanie studentów horyzontów poprzez zaznajamianie anglojęzyczną literaturą najnowszymi trendami obszarach sektora publicznego poznają powiązania ramach administracji szczególnym uwzględnieniem charakteru działania partnerstwa zdobywają umiejętności działania styku administracji lokalnej krajowej międzynarodowej administracji unii europejskiej
